rank,layer_idx,head_idx,importance_score
290,11,16,15.977544
291,15,31,15.963571
292,17,7,15.962204
293,12,13,15.962041
294,27,10,15.961545
295,15,3,15.957307
296,5,9,15.956670
297,2,27,15.951608
298,1,11,15.939959
299,12,29,15.933126
300,11,19,15.925705
301,22,30,15.924674
302,5,12,15.919648
303,4,7,15.912824
304,2,11,15.907178
305,22,0,15.906476
306,2,9,15.890591
307,30,9,15.889956
308,8,23,15.885542
309,16,4,15.881374
310,5,30,15.874428
311,26,12,15.873418
312,21,14,15.872363
313,20,21,15.866280
314,23,5,15.863515
315,28,4,15.859706
316,24,16,15.853656
317,3,7,15.853116
318,7,10,15.843945
319,24,15,15.841572
320,26,21,15.837567
321,31,29,15.835740
322,10,29,15.832961
323,5,28,15.816026
324,27,6,15.804183
325,6,19,15.802582
326,19,21,15.794914
327,28,7,15.792140
328,31,13,15.786415
329,30,24,15.782499
330,20,23,15.781061
331,18,25,15.767577
332,24,25,15.761090
333,2,28,15.756245
334,28,10,15.751582
335,4,21,15.743773
336,4,31,15.742388
337,6,6,15.736640
338,28,14,15.721926
339,26,23,15.711928
340,31,9,15.703657
341,19,9,15.703437
342,4,20,15.703303
343,23,4,15.700609
344,30,31,15.698555
345,21,19,15.682321
346,25,21,15.680785
347,3,6,15.679808
348,0,14,15.677430
349,5,29,15.676611
350,13,31,15.673354
351,11,8,15.669755
352,5,11,15.665134
353,21,21,15.664299
354,15,6,15.662701
355,26,3,15.650444
356,24,5,15.643013
357,12,28,15.641422
358,16,21,15.628314
359,5,0,15.623996
360,18,7,15.623463
361,4,18,15.616630
362,26,14,15.597527
363,26,15,15.593087
364,21,0,15.587311
365,6,31,15.583053
366,1,29,15.580095
367,5,13,15.578661
368,28,6,15.565878
369,11,10,15.565059
370,7,19,15.562230
371,26,9,15.560836
372,3,11,15.556079
373,10,25,15.552427
374,19,15,15.551698
375,6,27,15.539512
376,17,10,15.534946
377,27,21,15.516725
378,30,20,15.514925
379,30,3,15.508306
380,6,14,15.500030
381,5,3,15.497858
382,29,18,15.495019
383,29,22,15.490761
384,10,15,15.486936
385,11,30,15.484554
386,28,25,15.468965
387,10,16,15.468630
388,29,9,15.467823
389,23,6,15.462634
390,4,4,15.456107
391,28,19,15.450834
392,12,24,15.445590
393,29,20,15.440131
394,19,12,15.438522
395,2,29,15.426773
396,24,24,15.417467
397,8,21,15.413430
398,20,9,15.399573
399,29,24,15.385688
400,5,18,15.380958
401,15,17,15.379561
402,19,10,15.378680
403,25,24,15.375529
404,2,2,15.370961
405,7,12,15.356466
406,12,23,15.350719
407,27,23,15.346839
408,23,7,15.335783
409,30,25,15.326837
410,28,16,15.326027
411,10,12,15.325289
412,29,21,15.318729
413,4,8,15.314600
414,7,9,15.313528
415,22,1,15.304389
416,17,16,15.289510
417,17,0,15.286700
418,16,3,15.275735
419,25,2,15.269069
420,27,8,15.268727
