rank,layer_idx,head_idx,importance_score
290,31,2,16.338056
291,1,0,16.329422
292,10,29,16.323126
293,25,0,16.322255
294,22,30,16.319905
295,20,23,16.307606
296,30,3,16.302272
297,4,31,16.301412
298,24,21,16.297932
299,1,27,16.293054
300,12,13,16.289951
301,27,10,16.282742
302,30,20,16.282729
303,28,31,16.279453
304,1,11,16.271506
305,29,31,16.270392
306,22,1,16.270210
307,2,28,16.263861
308,21,19,16.263674
309,5,28,16.261998
310,16,4,16.255741
311,26,23,16.250378
312,3,2,16.248406
313,3,7,16.236411
314,10,16,16.230542
315,28,19,16.223877
316,2,17,16.211596
317,22,2,16.184001
318,12,29,16.180325
319,16,3,16.170453
320,15,6,16.166592
321,31,31,16.165267
322,18,0,16.164372
323,23,5,16.163694
324,5,22,16.155570
325,31,13,16.149160
326,3,6,16.147967
327,5,13,16.138309
328,25,3,16.136127
329,4,18,16.134306
330,4,7,16.133878
331,19,26,16.131160
332,2,9,16.129903
333,2,11,16.125472
334,12,28,16.124356
335,5,0,16.119976
336,30,9,16.114794
337,30,24,16.112886
338,29,20,16.109583
339,24,15,16.106585
340,26,30,16.101070
341,2,29,16.100670
342,26,15,16.089618
343,17,7,16.089094
344,4,20,16.086421
345,22,0,16.082049
346,28,24,16.082042
347,26,12,16.078312
348,30,13,16.076897
349,19,21,16.065923
350,4,4,16.062194
351,5,29,16.044151
352,11,10,16.041677
353,10,13,16.036363
354,26,21,16.035243
355,19,12,16.025824
356,30,31,16.023323
357,11,8,16.013328
358,26,14,16.006206
359,6,27,16.001703
360,8,23,15.998803
361,10,25,15.995291
362,19,22,15.987704
363,28,7,15.973021
364,31,29,15.972138
365,30,25,15.971899
366,7,10,15.971183
367,9,15,15.966276
368,2,24,15.962068
369,0,14,15.948485
370,1,29,15.946374
371,29,29,15.939686
372,19,3,15.927639
373,17,16,15.910768
374,19,15,15.909018
375,23,6,15.906287
376,6,17,15.903988
377,21,20,15.897627
378,31,10,15.887568
379,6,19,15.887460
380,4,21,15.884691
381,29,18,15.872039
382,27,23,15.866363
383,24,24,15.853511
384,3,11,15.848772
385,27,12,15.845299
386,5,3,15.841341
387,28,4,15.836257
388,17,12,15.823498
389,0,23,15.815221
390,29,24,15.809970
391,26,3,15.802732
392,25,11,15.801308
393,19,10,15.797119
394,16,21,15.788831
395,31,9,15.784432
396,30,27,15.771068
397,25,18,15.768071
398,10,8,15.752434
399,27,21,15.750770
400,10,15,15.750080
401,5,17,15.736718
402,10,31,15.735155
403,22,24,15.732824
404,5,15,15.732236
405,28,25,15.731975
406,29,22,15.731548
